"","Month","Tmin","Tmax","Chill_eff","Heat_eff"
"299",10,-14,7,1.08001188785981,0.330859724198722
"300",10,-14,8,1.08592025564673,0.504681812324184
"301",10,-14,9,1.08985160925397,0.716575427020163
"302",10,-14,10,0,0.96590280088757
"303",10,-14,11,0,1.25089038490855
"304",10,-14,12,0,1.56900804398513
"305",10,-14,13,0,1.91698218054367
"306",10,-14,14,0,2.29150032290835
"307",10,-14,15,0,2.68878356421409
"308",10,-14,16,0,3.10466432162447
"309",10,-14,17,0,3.53486019280997
"310",10,-14,18,0,3.9748631778302
"311",10,-14,19,0,4.42000523767788
"312",10,-14,20,0,4.86557852095456
"313",10,-14,21,0,5.30698163394547
"314",10,-14,22,0,5.73972997453819
"315",10,-14,23,0,6.1595331282069
"316",10,-14,24,0,6.56222438291783
"317",10,-14,25,0,6.9438375111613
"318",10,-14,26,0.0482307705020368,7.30073834003108
"319",10,-14,27,0,7.62963632686407
"320",10,-14,28,0,7.92766514557331
"321",10,-14,29,0,8.05814836105041
"322",10,-14,30,0,7.74232592797262
"323",10,-13,-13,0,0
"324",10,-13,-12,0,0
"325",10,-13,-11,0,0
"326",10,-13,-10,0,0
"327",10,-13,-9,0,0
"328",10,-13,-8,0,0
"329",10,-13,-7,0,0
"330",10,-13,-6,0,0
"331",10,-13,-5,0,0
"332",10,-13,-4,0,0
"333",10,-13,-3,0,0
"334",10,-13,-2,0,0
"335",10,-13,-1,0,0
"336",10,-13,0,0.000105562051655946,0
"337",10,-13,1,1.02216516269491,0
"338",10,-13,2,1.01489265175008,8.42204657625079e-07
"339",10,-13,3,1.0622581581335,0.00710773937654083
"340",10,-13,4,1.06313430057969,0.0381319740212148
"341",10,-13,5,1.07471785394023,0.101323955008429
"342",10,-13,6,1.07997862550306,0.200893268021942
"343",10,-13,7,1.09022023016346,0.339168994965759
"344",10,-13,8,1.0934138574928,0.516558729730803
"345",10,-13,9,1.08201485561306,0.732729828052497
"346",10,-13,10,0,0.986836897246327
"347",10,-13,11,0,1.27696996542079
"348",10,-13,12,0,1.60032697761622
"349",10,-13,13,0,1.95380614291486
"350",10,-13,14,0,2.33401188347616
"351",10,-13,15,0,2.73700609564396
"352",10,-13,16,0,3.15865450427429
"353",10,-13,17,0,3.5945747354
"354",10,-13,18,0,4.0401374777652
"355",10,-13,19,0,4.49061670192542
"356",10,-13,20,0,4.94134438161532
"357",10,-13,21,0,5.38770578458462
"358",10,-13,22,0,5.82523481410767
"359",10,-13,23,0,6.24948051743259
"360",10,-13,24,0,6.6562106898907
"361",10,-13,25,0,7.041454953523
"362",10,-13,26,0.0570530472901693,7.40157372094389
